,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
250,Gorontalo,ID,89.71,overcast clouds,0.5412,123.0595,Grand City Hotel
254,Diamantino,BR,73.11,overcast clouds,-14.4086,-56.4461,Hotel kayaby
256,Hithadhoo,MV,80.42,scattered clouds,-0.6,73.0833,Pebbles Inn
262,Port Blair,IN,80.64,broken clouds,11.6667,92.75,Andaman Ocean Breeze
265,Camana,PE,70.03,overcast clouds,-16.6228,-72.7111,Caja Arequipa
278,Kalmunai,LK,76.93,broken clouds,7.4167,81.8167,Saji new food
280,Mitsamiouli,KM,78.91,overcast clouds,-11.3847,43.2844,Hotel le Paradis
281,Miri,MY,80.74,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
282,Isangel,VU,84.11,few clouds,-19.55,169.2667,Tanna Lodge
289,Candelaria,PH,78.39,overcast clouds,13.9311,121.4233,Grand Central Hotel and Spa
293,Atambua,ID,77.54,overcast clouds,-9.1061,124.8925,Hotel Matahari
294,Fomboni,KM,82.11,light rain,-12.28,43.7425,Mohéli La Plage
297,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
299,Nicoya,CR,72.84,few clouds,10.1483,-85.45200000000001,Hotel marianela
300,Mandapam,IN,78.67,scattered clouds,9.2833,79.1167,GOWRI MESS
305,Inhambane,MZ,72.63,clear sky,-23.865,35.3833,Hotel de Inhambane
306,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Cape Garden
309,Gizo,SB,85.14,overcast clouds,-8.103,156.8419,Gizo Hotel
310,Acajutla,SV,76.86,clear sky,13.5928,-89.8275,Hotel Lara
318,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Horisun
319,Sinnamary,GF,75.63,overcast clouds,5.3833,-52.95,Hôtel du fleuve
324,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,Bakun Inn
329,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
330,Sao Filipe,CV,76.17,broken clouds,14.8961,-24.4956,Bela Vista
332,Banjar,ID,86.54,overcast clouds,-8.19,114.9675,Villa Banjar Beach
333,Sur,OM,72.03,clear sky,22.5667,59.5289,Sur Hotel
360,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Hotel Hero
361,Bathsheba,BB,77.61,light rain,13.2167,-59.5167,Atlantis Hotel
362,Port-Gentil,GA,77.31,light rain,-0.7193,8.7815,Tara-Mé
363,Caravelas,BR,70.66,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
365,Cockburn Town,TC,78.21,broken clouds,21.4612,-71.1419,The Salt Raker Inn
366,Podor,MR,73.13,few clouds,16.6527,-14.9587,La Cour du Fleuve
367,Namibe,AO,73.65,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
369,Mount Isa,AU,83.97,light rain,-20.7333,139.5,Ibis Styles
371,Maxixe,MZ,71.65,clear sky,-23.8597,35.3472,Hotel Herry
375,Playa Del Carmen,MX,78.03,clear sky,20.6274,-87.0799,Wabi hotel
383,Praia,CV,72.93,broken clouds,14.9215,-23.5087,Casa Sodadi
386,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
399,Port Macquarie,AU,80.89,clear sky,-31.4333,152.9167,The Observatory
402,Kilindoni,TZ,81.19,broken clouds,-7.9139,39.6668,Ibizza Inn
